,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,4 Week Average Quantity,4 Week Avg % Change,Previous Week Quantity,Total Quantity,Previous Week Total Quantity,UPC,Price Change %,modifiedUPC,Dollar Change
513964,5/9/2024 to 5/15/2024,MISTIC MANGO CARROT 64 OZ,0008939664297,JUGOS PET,125.0,2024-05-09,-20.88607594936709,116.75,-6.412825651302601,158.0,794174.0,740536.0,8939664297,0.0,0008939664297,0.0
515020,5/9/2024 to 5/15/2024,MISTIC ORANGE CARROT 64 OZ,0008939664296,JUGOS PET,1316.0,2024-05-09,11.71477079796266,952.25,17.4892041949414,1178.0,794174.0,740536.0,8939664296,0.0,0008939664296,0.0
515257,5/9/2024 to 5/15/2024,MISTIC TROPICAL CARROT 64 OZ,0008939664290,JUGOS PET,284.0,2024-05-09,11.372549019607847,192.75,7.381615598885793,255.0,794174.0,740536.0,8939664290,0.0,0008939664290,0.0
518732,5/9/2024 to 5/15/2024,NILLA MINI WAFERS SINGLE SERVE 12 CT,0004400003128,GALLETAS,33.0,2024-05-09,3.125,31.25,-14.383561643835618,32.0,794174.0,740536.0,4400003128,0.0,0004400003128,0.0
519130,5/9/2024 to 5/15/2024,CHIPS AHOY CHOCO CHIPS 13.0 OZ,0004400003219,GALLETAS,565.0,2024-05-09,18.69747899159664,370.75,6.690647482014378,476.0,794174.0,740536.0,4400003219,0.0,0004400003219,0.0
519918,5/9/2024 to 5/15/2024,RITZ CRACKERS 13.7 OZ,0004400003111,GALLETAS,1058.0,2024-05-09,5.588822355289413,898.25,3.5446685878962603,1002.0,794174.0,740536.0,4400003111,0.0,0004400003111,0.0
520285,5/9/2024 to 5/15/2024,OREO SANDWICH SINGLE SERVE 12 PK,0004400004698,GALLETAS,34.0,2024-05-09,-8.108108108108103,43.0,-12.244897959183676,37.0,794174.0,740536.0,4400004698,0.0,0004400004698,0.0
520546,5/9/2024 to 5/15/2024,ROVIRA EXPORT SODA CRACKERS 28 OZ,0007298100105,GALLETAS,178.0,2024-05-09,5.952380952380953,235.25,1.5102481121898492,168.0,794174.0,740536.0,7298100105,0.0,0007298100105,0.0
521286,5/9/2024 to 5/15/2024,ROVIRA EXPORT SODAS BUTTER 30 OZ,0007298100157,GALLETAS,72.0,2024-05-09,10.769230769230775,73.75,-2.640264026402639,65.0,794174.0,740536.0,7298100157,0.0,0007298100157,0.0
521754,5/9/2024 to 5/15/2024,CHIPS AHOY! SINGLE SERVE 12 CT,0004400005222,GALLETAS,33.0,2024-05-09,0.0,32.5,-7.801418439716312,33.0,794174.0,740536.0,4400005222,0.0,0004400005222,0.0
521874,5/9/2024 to 5/15/2024,WELCH'S WHITE GRAPE 100% JUICE 64 OZ,0004180022700,JUGOS PET,94.0,2024-05-09,44.61538461538461,121.5,-1.2195121951219523,65.0,794174.0,740536.0,4180022700,0.0,0004180022700,0.0
522121,5/9/2024 to 5/15/2024,WELCH'S GRAPE JUICE 100% 64 OZ,0004180020750,JUGOS PET,294.0,2024-05-09,-0.3389830508474523,364.5,-4.518664047151278,295.0,794174.0,740536.0,4180020750,0.0,0004180020750,0.0
522408,5/9/2024 to 5/15/2024,WELCHS GRAPE JUICE 100 % 10 OZ,0004180035400,JUGOS PET,721.0,2024-05-09,-9.535759096612296,759.25,-2.753762407941085,797.0,794174.0,740536.0,4180035400,0.0,0004180035400,0.0
523182,5/9/2024 to 5/15/2024,WELCH GRAPE CONCORD JUICE COCKT 64OZ,0004180020199,JUGOS PET,180.0,2024-05-09,-3.7433155080213942,138.25,8.4313725490196,187.0,794174.0,740536.0,4180020199,0.0,0004180020199,0.0
523556,5/9/2024 to 5/15/2024,OREO MINI SINGLE SERVE 12 PK,0004400002028,GALLETAS,321.0,2024-05-09,34.873949579831944,230.5,-7.707707707707712,238.0,794174.0,740536.0,4400002028,0.0,0004400002028,0.0
523610,5/9/2024 to 5/15/2024,NABISCO CHIP AHOY MINI S SERVE 12 PK,0004400002027,GALLETAS,273.0,2024-05-09,14.225941422594147,217.5,-1.4722536806342057,239.0,794174.0,740536.0,4400002027,0.0,0004400002027,0.0
537223,5/16/2024 to 5/22/2024,MOTTS PLUS LIGHT APPLE 64 OZ,0001480032100,JUGOS PET,92.0,2024-05-16,-8.910891089108908,90.25,-5.000000000000004,101.0,837064.0,794174.0,1480032100,0.0,0001480032100,0.0
537753,5/16/2024 to 5/22/2024,MOTTS APPLE JUICE 64 OZ,0001480000034,JUGOS PET,650.0,2024-05-16,15.864527629233516,601.0,-12.866980790141358,561.0,837064.0,794174.0,1480000034,0.0,0001480000034,0.0
538479,5/16/2024 to 5/22/2024,MOTTS APPLE NATURAL STYLE JUICE 64OZ,0001480031656,JUGOS PET,20.0,2024-05-16,5.263157894736836,23.0,-19.298245614035093,19.0,837064.0,794174.0,1480031656,0.0,0001480031656,0.0
542790,5/16/2024 to 5/22/2024,WELCH GRAPE CONCORD JUICE COCKT 64OZ,0004180020199,JUGOS PET,126.0,2024-05-16,-30.000000000000004,141.5,2.350813743218816,180.0,837064.0,794174.0,4180020199,21.449275362318843,0004180020199,0.7400000000000002
542872,5/16/2024 to 5/22/2024,WELCH'S GRAPE JUICE 100% 64 OZ,0004180020750,JUGOS PET,347.0,2024-05-16,18.02721088435375,326.5,-10.42524005486969,294.0,837064.0,794174.0,4180020750,0.0,0004180020750,0.0
543001,5/16/2024 to 5/22/2024,WELCHS GRAPE JUICE 100 % 10 OZ,0004180035400,JUGOS PET,1061.0,2024-05-16,47.156726768377254,801.0,5.498847546921315,721.0,837064.0,794174.0,4180035400,0.0,0004180035400,0.0
543112,5/16/2024 to 5/22/2024,WELCH'S WHITE GRAPE 100% JUICE 64 OZ,0004180022700,JUGOS PET,88.0,2024-05-16,-6.382978723404253,98.0,-19.34156378600823,94.0,837064.0,794174.0,4180022700,0.0,0004180022700,0.0
554462,5/16/2024 to 5/22/2024,NILLA MINI WAFERS SINGLE SERVE 12 CT,0004400003128,GALLETAS,22.0,2024-05-16,-33.333333333333336,27.25,-12.8,33.0,837064.0,794174.0,4400003128,5.825242718446599,0004400003128,0.2999999999999998
554549,5/16/2024 to 5/22/2024,RITZ CRACKERS 13.7 OZ,0004400003111,GALLETAS,818.0,2024-05-16,-22.684310018903588,875.0,-2.5883662677428365,1058.0,837064.0,794174.0,4400003111,10.7936507936508,0004400003111,0.3400000000000003
554693,5/16/2024 to 5/22/2024,NABISCO CHIP AHOY MINI S SERVE 12 PK,0004400002027,GALLETAS,152.0,2024-05-16,-44.32234432234432,206.5,-5.057471264367819,273.0,837064.0,794174.0,4400002027,5.825242718446599,0004400002027,0.2999999999999998
554736,5/16/2024 to 5/22/2024,OREO MINI SINGLE SERVE 12 PK,0004400002028,GALLETAS,159.0,2024-05-16,-50.46728971962617,216.0,-6.290672451193058,321.0,837064.0,794174.0,4400002028,5.825242718446599,0004400002028,0.2999999999999998
555449,5/16/2024 to 5/22/2024,OREO SANDWICH SINGLE SERVE 12 PK,0004400004698,GALLETAS,39.0,2024-05-16,14.705882352941169,35.5,-17.441860465116278,34.0,837064.0,794174.0,4400004698,0.0,0004400004698,0.0
555771,5/16/2024 to 5/22/2024,CHIPS AHOY! SINGLE SERVE 12 CT,0004400005222,GALLETAS,19.0,2024-05-16,-42.42424242424242,27.75,-14.615384615384619,33.0,837064.0,794174.0,4400005222,0.0,0004400005222,0.0
555992,5/16/2024 to 5/22/2024,CHIPS AHOY CHOCO CHIPS 13.0 OZ,0004400003219,GALLETAS,286.0,2024-05-16,-49.38053097345133,376.5,1.5509103169251581,565.0,837064.0,794174.0,4400003219,0.0,0004400003219,0.0
559499,5/16/2024 to 5/22/2024,POWERADE ORANGE 20 OZ,0004900003278,BEBIDAS,325.0,2024-05-16,-11.924119241192411,312.25,3.9966694421315507,369.0,837064.0,794174.0,4900003278,0.0,0004900003278,0.0
559617,5/16/2024 to 5/22/2024,POWERADE GRAPE 20 OZ,0004900004526,BEBIDAS,475.0,2024-05-16,-6.126482213438733,439.5,3.9621525724423456,506.0,837064.0,794174.0,4900004526,0.0,0004900004526,0.0
559748,5/16/2024 to 5/22/2024,POWERADE ZERO MIXED BERRY 20 OZ,0004900005069,BEBIDAS,204.0,2024-05-16,-26.618705035971225,198.0,10.924369747899165,278.0,837064.0,794174.0,4900005069,0.0,0004900005069,0.0
559877,5/16/2024 to 5/22/2024,POWERADE FRUIT PUNCH 20 OZ,0004900000371,BEBIDAS,808.0,2024-05-16,-9.82142857142857,774.0,2.754729505476261,896.0,837064.0,794174.0,4900000371,0.0,0004900000371,0.0
559904,5/16/2024 to 5/22/2024,POWERADE LIMON 20 OZ,0004900000369,BEBIDAS,261.0,2024-05-16,-20.42682926829268,264.75,3.8235294117647145,328.0,837064.0,794174.0,4900000369,0.0,0004900000369,0.0
560043,5/16/2024 to 5/22/2024,POWERADE MOUNTAIN BLAST 2O OZ,0004900000790,BEBIDAS,595.0,2024-05-16,-14.634146341463417,621.5,1.1391375101708734,697.0,837064.0,794174.0,4900000790,0.0,0004900000790,0.0
560460,5/16/2024 to 5/22/2024,POWERADE ZERO FRUIT PUNCH 20 OZ,0004900005642,BEBIDAS,195.0,2024-05-16,-20.081967213114748,209.75,-4.76730987514189,244.0,837064.0,794174.0,4900005642,0.0,0004900005642,0.0
562255,5/16/2024 to 5/22/2024,HOLSUM GALLETAS EMP FAMILIAR 10 OZ,0002296100104,GALLETAS,47.0,2024-05-16,-28.787878787878785,52.25,-3.240740740740744,66.0,837064.0,794174.0,2296100104,8.595988538681954,0002296100104,0.2999999999999998
582690,5/16/2024 to 5/22/2024,ROVIRA EXPORT SODAS BUTTER 30 OZ,0007298100157,GALLETAS,101.0,2024-05-16,40.27777777777777,74.75,1.3559322033898313,72.0,837064.0,794174.0,7298100157,0.0,0007298100157,0.0
582974,5/16/2024 to 5/22/2024,ROVIRA EXPORT SODA CRACKERS 28 OZ,0007298100105,GALLETAS,158.0,2024-05-16,-11.23595505617978,194.5,-17.321997874601493,178.0,837064.0,794174.0,7298100105,2.0437956204379715,0007298100105,0.14000000000000057
587830,5/16/2024 to 5/22/2024,OCEAN SPRAY WHITE CRANBERRY 64 OZ,0003120028127,JUGOS PET,135.0,2024-05-16,2.2727272727272707,115.75,4.514672686230248,132.0,837064.0,794174.0,3120028127,9.295774647887335,0003120028127,0.33000000000000007
588122,5/16/2024 to 5/22/2024,MISTIC TROPICAL CARROT 64 OZ,0008939664290,JUGOS PET,193.0,2024-05-16,-32.04225352112676,204.0,5.836575875486383,284.0,837064.0,794174.0,8939664290,4.057971014492745,0008939664290,0.13999999999999968
588178,5/16/2024 to 5/22/2024,OCEAN SPRAY LIGHT CRANBERRY 64 OZ,0003120034227,JUGOS PET,24.0,2024-05-16,-11.111111111111116,25.0,3.092783505154628,27.0,837064.0,794174.0,3120034227,9.295774647887335,0003120034227,0.33000000000000007
588696,5/16/2024 to 5/22/2024,OCEAN SPRAY LIGHT CRAN.GRAPE 64 OZ,0003120034327,JUGOS PET,43.0,2024-05-16,138.88888888888889,28.25,10.784313725490202,18.0,837064.0,794174.0,3120034327,9.295774647887335,0003120034327,0.33000000000000007
588726,5/16/2024 to 5/22/2024,MISTIC ORANGE CARROT 64 OZ,0008939664296,JUGOS PET,1003.0,2024-05-16,-23.78419452887538,1018.0,6.90469939616698,1316.0,837064.0,794174.0,8939664296,4.057971014492745,0008939664296,0.13999999999999968
588845,5/16/2024 to 5/22/2024,MISTIC MANGO CARROT 64 OZ,0008939664297,JUGOS PET,88.0,2024-05-16,-29.600000000000005,108.0,-7.494646680942186,125.0,837064.0,794174.0,8939664297,4.057971014492745,0008939664297,0.13999999999999968
588997,5/16/2024 to 5/22/2024,OCEAN SPRAY CRAN/GRAPE DIET 64 OZ,0003120020157,JUGOS PET,92.0,2024-05-16,-19.999999999999996,95.5,10.404624277456653,115.0,837064.0,794174.0,3120020157,9.295774647887335,0003120020157,0.33000000000000007
589135,5/16/2024 to 5/22/2024,OCEAN SPRAY CRANBERRY JUICE 64 OZ,0003120020007,JUGOS PET,374.0,2024-05-16,-22.567287784679092,396.0,4.416611733684905,483.0,837064.0,794174.0,3120020007,9.295774647887335,0003120020007,0.33000000000000007
589140,5/16/2024 to 5/22/2024,OCEAN SPRAY CRANBERRY DIET 64 OZ,0003120020031,JUGOS PET,117.0,2024-05-16,-12.030075187969924,116.5,8.120649651972167,133.0,837064.0,794174.0,3120020031,9.295774647887335,0003120020031,0.33000000000000007
589223,5/16/2024 to 5/22/2024,OCEAN SPARY CRAN/GRAPE 100% 64 OZ,0003120003466,JUGOS PET,42.0,2024-05-16,13.513513513513509,34.75,6.106870229007644,37.0,837064.0,794174.0,3120003466,2.6315789473684292,0003120003466,0.11000000000000032
589240,5/16/2024 to 5/22/2024,OCEAN SPRAY CRANBERRY 100% 64 OZ,0003120003469,JUGOS PET,71.0,2024-05-16,44.89795918367348,46.5,17.721518987341778,49.0,837064.0,794174.0,3120003469,0.0,0003120003469,0.0
589400,5/16/2024 to 5/22/2024,OCEAN SPRAY RUBY GRAPEFRUIT 64 OZ,0003120027627,JUGOS PET,122.0,2024-05-16,45.238095238095234,94.25,14.242424242424235,84.0,837064.0,794174.0,3120027627,9.295774647887335,0003120027627,0.33000000000000007
589453,5/16/2024 to 5/22/2024,OCEAN SPRAY CRANGRAPE 64 OZ,0003120022007,JUGOS PET,137.0,2024-05-16,-19.883040935672515,129.75,9.263157894736839,171.0,837064.0,794174.0,3120022007,9.295774647887335,0003120022007,0.33000000000000007
