,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,4 Week Average Quantity,4 Week Avg % Change,Previous Week Quantity,Total Quantity_x,Previous Week Total Quantity_x,Total Quantity_y,Previous Week Total Quantity_y,UPC,Price Change %,modifiedUPC,Dollar Change
4080,3/7/2024 to 3/13/2024,RICO ARROZ JASMIN 10 LBS,0074370900101,ARROZ,8.0,2024-03-07,,8.0,,,774092.0,,774092.0,,74370900101,,0074370900101,
4087,3/7/2024 to 3/13/2024,RICO ARROZ GR/LARGO PARBOLIED 10 LBS,0074370900191,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
4190,3/7/2024 to 3/13/2024,RICO ARROZ GRANO LARGO 1 LB CLEAR,0074370900080,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
5135,3/7/2024 to 3/13/2024,GOYA ARROZ CON HABICHUELA NEGRA 8 OZ,0004133102665,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
5179,3/7/2024 to 3/13/2024,GOYA BASMATI RICE 5 LBS,0004133102835,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
5186,3/7/2024 to 3/13/2024,GOYA BASMATI RICE 32 OZ,0004133102834,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
5245,3/7/2024 to 3/13/2024,CANILLA ARROZ GRANO X/LARGO10 LBS,0004133102637,ARROZ,33.0,2024-03-07,,33.0,,,774092.0,,774092.0,,,,,
5271,3/7/2024 to 3/13/2024,CANILLA ARROZ GRANO LARGO 20 LBS,0004133102638,ARROZ,24.0,2024-03-07,,24.0,,,774092.0,,774092.0,,4133102638,,0004133102638,
5274,3/7/2024 to 3/13/2024,GOYA ARROZ CON SABOR A POLLO 8 OZ,0004133102657,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
5278,3/7/2024 to 3/13/2024,GOYA ARROZ CON GANDULES 8 OZ,0004133102661,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
5280,3/7/2024 to 3/13/2024,CANILLA ARROZ GRANO LARGO 5 LBS,0004133102635,ARROZ,49.0,2024-03-07,,49.0,,,774092.0,,774092.0,,4133102635,,0004133102635,
5285,3/7/2024 to 3/13/2024,CANILLA ARROZ GRANO LARGO 3 LBS,0004133102633,ARROZ,93.0,2024-03-07,,93.0,,,774092.0,,774092.0,,4133102633,,0004133102633,
5289,3/7/2024 to 3/13/2024,CANILLA ARROZ GRANO XTRA LARGO 2 LBS,0004133102634,ARROZ,10.0,2024-03-07,,10.0,,,774092.0,,774092.0,,,,,
5322,3/7/2024 to 3/13/2024,GOYA PAELLA 19 OZ,0004133102541,ARROZ,9.0,2024-03-07,,9.0,,,774092.0,,774092.0,,,,,
5347,3/7/2024 to 3/13/2024,GOYA ARROZ GRANO EXTRA LARGO 3 LBS,0004133102647,ARROZ,25.0,2024-03-07,,25.0,,,774092.0,,774092.0,,4133102647,,0004133102647,
5402,3/7/2024 to 3/13/2024,GOYA ARROZ GRANO MEDIANO 5 LBS,0004133102603,ARROZ,12.0,2024-03-07,,12.0,,,774092.0,,774092.0,,,,,
5405,3/7/2024 to 3/13/2024,GOYA ARROZ GRANO MEDIANO 10 LBS,0004133102605,ARROZ,1.0,2024-03-07,,1.0,,,774092.0,,774092.0,,,,,
5415,3/7/2024 to 3/13/2024,GOYA ARROZ GRANO MEDIANO 20 LBS,0004133102607,ARROZ,2.0,2024-03-07,,2.0,,,774092.0,,774092.0,,,,,
5420,3/7/2024 to 3/13/2024,GOYA ARROZ MEXICANO 8 OZ,0004133102644,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
5422,3/7/2024 to 3/13/2024,GOYA ARROZ MEDIANO 20 LBS,0004133102606,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
