,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,4 Week Average Quantity,4 Week Avg % Change,UPC,Price Change %,modifiedUPC
392018,3/28/2024 to 4/3/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,31.0,2024-03-28,-0.4833333333333333,55.75,-12.890625,8704177014,-9.140767824497253,0008704177014
392019,4/4/2024 to 4/10/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,82.0,2024-04-04,1.6451612903225805,61.25,9.865470852017943,8704177014,10.060362173038229,0008704177014
392020,4/11/2024 to 4/17/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,69.0,2024-04-11,-0.1585365853658537,60.5,-1.224489795918371,8704177014,-9.140767824497253,0008704177014
392021,4/18/2024 to 4/24/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,53.0,2024-04-18,-0.23188405797101452,58.75,-2.892561983471076,8704177014,10.060362173038229,0008704177014
392022,4/25/2024 to 5/1/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,42.0,2024-04-25,-0.2075471698113207,61.5,4.680851063829783,8704177014,-9.140767824497253,0008704177014
392023,5/2/2024 to 5/8/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,50.0,2024-05-02,0.19047619047619047,53.5,-13.008130081300816,8704177014,10.060362173038229,0008704177014
392024,5/9/2024 to 5/15/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,49.0,2024-05-09,-0.020000000000000018,48.5,-9.345794392523366,8704177014,-9.140767824497253,0008704177014
392025,5/16/2024 to 5/22/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,59.0,2024-05-16,0.20408163265306123,50.0,3.092783505154628,8704177014,10.060362173038229,0008704177014
392026,5/23/2024 to 5/29/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,40.0,2024-05-23,-0.3220338983050848,49.5,-1.0000000000000009,,,
392027,5/30/2024 to 6/5/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,17.0,2024-05-30,-0.575,41.25,-16.666666666666664,,,
413127,3/7/2024 to 3/13/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),103.0,2024-03-07,,103.0,,9626511208,,0009626511208
413128,3/14/2024 to 3/20/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),156.0,2024-03-14,0.5145631067961165,129.5,25.728155339805838,9626511208,-1.0101010101010055,0009626511208
413129,3/21/2024 to 3/27/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),140.0,2024-03-21,-0.10256410256410253,133.0,2.7027027027026973,9626511208,1.0204081632652962,0009626511208
413130,3/28/2024 to 4/3/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),86.0,2024-03-28,-0.3857142857142857,121.25,-8.834586466165417,9626511208,-1.0101010101010055,0009626511208
413131,4/4/2024 to 4/10/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),131.0,2024-04-04,0.5232558139534884,128.25,5.7731958762886615,9626511208,1.0204081632652962,0009626511208
413132,4/11/2024 to 4/17/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),110.0,2024-04-11,-0.16030534351145043,116.75,-8.966861598440545,9626511208,-1.0101010101010055,0009626511208
413133,4/18/2024 to 4/24/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),132.0,2024-04-18,0.19999999999999996,114.75,-1.7130620985010725,9626511208,1.0204081632652962,0009626511208
413134,4/25/2024 to 5/1/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),92.0,2024-04-25,-0.303030303030303,116.25,1.3071895424836555,9626511208,-1.0101010101010055,0009626511208
413135,5/2/2024 to 5/8/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),91.0,2024-05-02,-0.010869565217391353,106.25,-8.602150537634412,9626511208,1.0204081632652962,0009626511208
413136,5/9/2024 to 5/15/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),129.0,2024-05-09,0.41758241758241765,111.0,4.470588235294115,9626511208,-1.0101010101010055,0009626511208
413137,5/16/2024 to 5/22/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),156.0,2024-05-16,0.20930232558139528,117.0,5.405405405405395,9626511208,1.0204081632652962,0009626511208
413138,5/23/2024 to 5/29/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),121.0,2024-05-23,-0.22435897435897434,124.25,6.196581196581197,,,
413139,5/30/2024 to 6/5/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),122.0,2024-05-30,0.008264462809917328,132.0,6.23742454728371,,,
578773,3/7/2024 to 3/13/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,56.0,2024-03-07,,56.0,,80327530608,,0080327530608
578774,3/14/2024 to 3/20/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,57.0,2024-03-14,0.017857142857142794,56.5,0.8928571428571397,80327530608,-14.28571428571428,0080327530608
578775,3/21/2024 to 3/27/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,76.0,2024-03-21,0.33333333333333326,63.0,11.504424778761058,80327530608,16.66666666666665,0080327530608
578776,3/28/2024 to 4/3/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,62.0,2024-03-28,-0.1842105263157895,62.75,-0.3968253968253954,80327530608,-14.28571428571428,0080327530608
578777,4/4/2024 to 4/10/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,76.0,2024-04-04,0.22580645161290325,67.75,7.968127490039834,80327530608,16.66666666666665,0080327530608
578778,4/11/2024 to 4/17/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,78.0,2024-04-11,0.026315789473684292,73.0,7.749077490774914,80327530608,-14.28571428571428,0080327530608
578779,4/18/2024 to 4/24/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,95.0,2024-04-18,0.21794871794871784,77.75,6.506849315068486,80327530608,16.66666666666665,0080327530608
578780,4/25/2024 to 5/1/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,98.0,2024-04-25,0.03157894736842115,86.75,11.575562700964625,80327530608,-14.28571428571428,0080327530608
578781,5/2/2024 to 5/8/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,89.0,2024-05-02,-0.09183673469387754,90.0,3.746397694524495,80327530608,16.66666666666665,0080327530608
578782,5/9/2024 to 5/15/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,57.0,2024-05-09,-0.3595505617977528,84.75,-5.833333333333335,80327530608,-14.28571428571428,0080327530608
578783,5/16/2024 to 5/22/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,88.0,2024-05-16,0.5438596491228069,83.0,-2.0648967551622377,80327530608,16.66666666666665,0080327530608
578784,5/23/2024 to 5/29/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,65.0,2024-05-23,-0.26136363636363635,74.75,-9.93975903614458,,,
578785,5/30/2024 to 6/5/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,80.0,2024-05-30,0.23076923076923084,72.5,-3.0100334448160515,,,
653887,3/7/2024 to 3/13/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,27.0,2024-03-07,,27.0,,89677500277,,0089677500277
653888,3/14/2024 to 3/20/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,50.0,2024-03-14,0.8518518518518519,38.5,42.59259259259258,89677500277,0.0,0089677500277
653889,3/21/2024 to 3/27/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,19.0,2024-03-21,-0.62,32.0,-16.883116883116877,89677500277,0.0,0089677500277
653890,3/28/2024 to 4/3/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,9.0,2024-03-28,-0.5263157894736843,26.25,-17.96875,89677500277,-1.519081141163392,0089677500277
653891,4/4/2024 to 4/10/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,23.0,2024-04-04,1.5555555555555554,25.25,-3.809523809523807,89677500277,1.5425131677953452,0089677500277
653892,4/11/2024 to 4/17/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,33.0,2024-04-11,0.4347826086956521,21.0,-16.831683168316836,89677500277,-1.519081141163392,0089677500277
653893,4/18/2024 to 4/24/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,54.0,2024-04-18,0.6363636363636365,29.75,41.66666666666667,89677500277,1.5425131677953452,0089677500277
653894,4/25/2024 to 5/1/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,22.0,2024-04-25,-0.5925925925925926,33.0,10.924369747899165,89677500277,-1.519081141163392,0089677500277
653895,5/2/2024 to 5/8/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,34.0,2024-05-02,0.5454545454545454,35.75,8.333333333333325,89677500277,1.5425131677953452,0089677500277
653896,5/9/2024 to 5/15/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,28.0,2024-05-09,-0.17647058823529416,34.5,-3.4965034965035002,89677500277,-1.519081141163392,0089677500277
653897,5/16/2024 to 5/22/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,51.0,2024-05-16,0.8214285714285714,33.75,-2.1739130434782594,89677500277,1.5425131677953452,0089677500277
653898,5/23/2024 to 5/29/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,19.0,2024-05-23,-0.6274509803921569,33.0,-2.2222222222222254,,,
653899,5/30/2024 to 6/5/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,15.0,2024-05-30,-0.21052631578947367,28.25,-14.393939393939393,,,
