,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,4 Week Average Quantity,4 Week Avg % Change,UPC,Price Change %,modifiedUPC,Dollar Change
203966,5/9/2024 to 5/15/2024,TRES MONJITAS BREAKFAST ORANGE 32 OZ,0003992704528,JUGOS DAIRY CHILL,0.0,2024-05-09,,0.0,,,,,
203968,5/23/2024 to 5/29/2024,TRES MONJITAS BREAKFAST ORANGE 32 OZ,0003992704528,JUGOS DAIRY CHILL,0.0,2024-05-23,,0.0,,,,,
203984,3/14/2024 to 3/20/2024,TRES MONJITAS CHINA 120 OZ,0003992704542,JUGOS DAIRY CHILL,99.0,2024-03-14,-0.06603773584905659,102.5,-3.301886792452835,3992704542,0.0,0003992704542,0.0
204087,3/7/2024 to 3/13/2024,TRES MONJITAS GUAVA PIÑA 120 OZ,0003992704942,JUGOS DAIRY CHILL,14.0,2024-03-07,,14.0,,3992704942,,0003992704942,
204094,4/25/2024 to 5/1/2024,TRES MONJITAS GUAVA PIÑA 120 OZ,0003992704942,JUGOS DAIRY CHILL,23.0,2024-04-25,-0.07999999999999996,25.25,2.020202020202011,3992704942,0.0,0003992704942,0.0
204096,5/9/2024 to 5/15/2024,TRES MONJITAS GUAVA PIÑA 120 OZ,0003992704942,JUGOS DAIRY CHILL,21.0,2024-05-09,1.1,19.75,-4.81927710843374,3992704942,0.0,0003992704942,0.0
204122,5/9/2024 to 5/15/2024,TRES MONJITAS TORONLITE 64 OZ,0003992705334,JUGOS DAIRY CHILL,0.0,2024-05-09,,0.0,,,,,
204147,5/2/2024 to 5/8/2024,TRES MONJITAS UVA CONCORD 32 OZ,0003992705528,JUGOS DAIRY CHILL,0.0,2024-05-02,,0.0,,,,,
204151,5/30/2024 to 6/5/2024,TRES MONJITAS UVA CONCORD 32 OZ,0003992705528,JUGOS DAIRY CHILL,0.0,2024-05-30,,0.0,,,,,
204171,4/18/2024 to 4/24/2024,TRES MONJITAS SOUR CREAM 16 OZ,0003992705643,CREMA AGRIA (SOUR CREAM),0.0,2024-04-18,,0.0,,,,,
204173,5/2/2024 to 5/8/2024,TRES MONJITAS SOUR CREAM 16 OZ,0003992705643,CREMA AGRIA (SOUR CREAM),0.0,2024-05-02,,0.0,,,,,
204176,5/23/2024 to 5/29/2024,TRES MONJITAS SOUR CREAM 16 OZ,0003992705643,CREMA AGRIA (SOUR CREAM),0.0,2024-05-23,,0.0,,,,,
204217,3/7/2024 to 3/13/2024,TRES MONJITAS ESSENTIAL MILK 64 OZ,0003992706034,LECHE FRESCA,0.0,2024-03-07,,0.0,,,,,
204268,5/30/2024 to 6/5/2024,TRES MONJITAS T/SPLASH TAMARIN 15 OZ,0003992707638,JUGOS PET,0.0,2024-05-30,,0.0,,,,,
204276,4/25/2024 to 5/1/2024,TRES MONJITA T/SPLASH GUANABAN 15 OZ,0003992707738,JUGOS PET,0.0,2024-04-25,,0.0,,,,,
204333,5/30/2024 to 6/5/2024,TRES MONJITAS ACEROLA 64 OZ,0003992708234,JUGOS DAIRY CHILL,0.0,2024-05-30,,0.0,,,,,
204401,3/21/2024 to 3/27/2024,TRES MONJITAS PARCHA DRINK 64 OZ,0003992709234,JUGOS DAIRY CHILL,0.0,2024-03-21,,0.0,,,,,
204443,4/11/2024 to 4/17/2024,FRUTASTY FRUIT PUNCH 64 OZ,0003992709434,JUGOS DAIRY CHILL,0.0,2024-04-11,,0.0,,,,,
204449,5/23/2024 to 5/29/2024,FRUTASTY FRUIT PUNCH 64 OZ,0003992709434,JUGOS DAIRY CHILL,0.0,2024-05-23,,0.0,,,,,
204657,5/23/2024 to 5/29/2024,TRES MONJITAS FRUIT PUNCH LITE 59 OZ,0003992724734,JUGOS DAIRY CHILL,1.0,2024-05-23,-0.8,7.75,3.3333333333333437,,,,
204661,3/21/2024 to 3/27/2024,TRES MONJITAS LIMON LITE 59 OZ,0003992728334,JUGOS DAIRY CHILL,9.0,2024-03-21,1.25,5.666666666666667,41.66666666666667,,,,
204675,3/28/2024 to 4/3/2024,TRES MONJITAS ORANGE SIN PULPA 59 OZ,0003992744534,JUGOS DAIRY CHILL,0.0,2024-03-28,-1.0,2.5,-25.0,,,,
204733,5/9/2024 to 5/15/2024,TRES MONJITAS UVA 59 OZ,0003992755534,JUGOS DAIRY CHILL,134.0,2024-05-09,0.3267326732673268,75.5,-8.20668693009119,,,,
206070,4/25/2024 to 5/1/2024,HAPPY PET GARBAGES BAGS 3 ROLLS,0003993110463,PRODUCTOS MASCOTAS,0.0,2024-04-25,,0.0,,,,,
206098,5/9/2024 to 5/15/2024,HAPPY PET KNOTTED BONES SMALL,0003993110465,PRODUCTOS MASCOTAS,9.0,2024-05-09,0.8,6.5,36.8421052631579,,,,
207943,5/2/2024 to 5/8/2024,M&M MILK CHOCO FUN FILLED HEART.93OZ,0004000049697,CHOCOLATE (DULCES),0.0,2024-05-02,,0.0,,,,,
207950,3/21/2024 to 3/27/2024,M&M FUN SIZE VARIETY MIX 9.9 OZ,0004000049740,CHOCOLATE (DULCES),0.0,2024-03-21,,0.0,,,,,
208056,4/4/2024 to 4/10/2024,DOVE FRUIT DARK CHOCO BLUE/VAIN5.5OZ,0004000050340,CHOCOLATE (DULCES),0.0,2024-04-04,,0.0,,,,,
