,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,4 Week Average Quantity,4 Week Avg % Change,UPC,Price Change %,modifiedUPC,Dollar Change
73983,3/7/2024 to 3/13/2024,MOTTS APPLE JUICE 64 OZ,0001480000034,JUGOS PET,541.0,2024-03-07,,541.0,,1480000034,,0001480000034,
73984,3/14/2024 to 3/20/2024,MOTTS APPLE JUICE 64 OZ,0001480000034,JUGOS PET,1076.0,2024-03-14,0.9889094269870611,808.5,49.44547134935304,1480000034,0.0,0001480000034,0.0
73985,3/21/2024 to 3/27/2024,MOTTS APPLE JUICE 64 OZ,0001480000034,JUGOS PET,634.0,2024-03-21,-0.41078066914498146,750.3333333333334,-7.194392908678616,1480000034,0.0,0001480000034,0.0
73986,3/28/2024 to 4/3/2024,MOTTS APPLE JUICE 64 OZ,0001480000034,JUGOS PET,405.0,2024-03-28,-0.361198738170347,664.0,-11.505997334517993,1480000034,0.0,0001480000034,0.0
73987,4/4/2024 to 4/10/2024,MOTTS APPLE JUICE 64 OZ,0001480000034,JUGOS PET,585.0,2024-04-04,0.4444444444444444,675.0,1.6566265060240948,1480000034,0.0,0001480000034,0.0
73988,4/11/2024 to 4/17/2024,MOTTS APPLE JUICE 64 OZ,0001480000034,JUGOS PET,598.0,2024-04-11,0.022222222222222143,555.5,-17.7037037037037,1480000034,0.0,0001480000034,0.0
73989,4/18/2024 to 4/24/2024,MOTTS APPLE JUICE 64 OZ,0001480000034,JUGOS PET,1005.0,2024-04-18,0.6806020066889633,648.25,16.696669666966702,1480000034,0.0,0001480000034,0.0
73990,4/25/2024 to 5/1/2024,MOTTS APPLE JUICE 64 OZ,0001480000034,JUGOS PET,664.0,2024-04-25,-0.33930348258706466,713.0,9.988430389510228,1480000034,0.0,0001480000034,0.0
73991,5/2/2024 to 5/8/2024,MOTTS APPLE JUICE 64 OZ,0001480000034,JUGOS PET,529.0,2024-05-02,-0.20331325301204817,699.0,-1.963534361851338,1480000034,0.0,0001480000034,0.0
73992,5/9/2024 to 5/15/2024,MOTTS APPLE JUICE 64 OZ,0001480000034,JUGOS PET,561.0,2024-05-09,0.06049149338374282,689.75,-1.3233190271816908,1480000034,0.0,0001480000034,0.0
73993,5/16/2024 to 5/22/2024,MOTTS APPLE JUICE 64 OZ,0001480000034,JUGOS PET,650.0,2024-05-16,0.15864527629233516,601.0,-12.866980790141358,1480000034,0.0,0001480000034,0.0
74295,3/7/2024 to 3/13/2024,MOTTS APPLE NATURAL STYLE JUICE 64OZ,0001480031656,JUGOS PET,31.0,2024-03-07,,31.0,,1480031656,,0001480031656,
74296,3/14/2024 to 3/20/2024,MOTTS APPLE NATURAL STYLE JUICE 64OZ,0001480031656,JUGOS PET,42.0,2024-03-14,0.35483870967741926,36.5,17.741935483870975,1480031656,0.0,0001480031656,0.0
74297,3/21/2024 to 3/27/2024,MOTTS APPLE NATURAL STYLE JUICE 64OZ,0001480031656,JUGOS PET,31.0,2024-03-21,-0.26190476190476186,34.666666666666664,-5.022831050228316,1480031656,0.0,0001480031656,0.0
74298,3/28/2024 to 4/3/2024,MOTTS APPLE NATURAL STYLE JUICE 64OZ,0001480031656,JUGOS PET,14.0,2024-03-28,-0.5483870967741935,29.5,-14.903846153846146,1480031656,0.0,0001480031656,0.0
74299,4/4/2024 to 4/10/2024,MOTTS APPLE NATURAL STYLE JUICE 64OZ,0001480031656,JUGOS PET,30.0,2024-04-04,1.1428571428571428,29.25,-0.8474576271186418,1480031656,0.0,0001480031656,0.0
74300,4/11/2024 to 4/17/2024,MOTTS APPLE NATURAL STYLE JUICE 64OZ,0001480031656,JUGOS PET,26.0,2024-04-11,-0.1333333333333333,25.25,-13.675213675213671,1480031656,0.0,0001480031656,0.0
74301,4/18/2024 to 4/24/2024,MOTTS APPLE NATURAL STYLE JUICE 64OZ,0001480031656,JUGOS PET,42.0,2024-04-18,0.6153846153846154,28.0,10.8910891089109,1480031656,0.0,0001480031656,0.0
74302,4/25/2024 to 5/1/2024,MOTTS APPLE NATURAL STYLE JUICE 64OZ,0001480031656,JUGOS PET,29.0,2024-04-25,-0.30952380952380953,31.75,13.392857142857139,1480031656,0.0,0001480031656,0.0
74303,5/2/2024 to 5/8/2024,MOTTS APPLE NATURAL STYLE JUICE 64OZ,0001480031656,JUGOS PET,24.0,2024-05-02,-0.1724137931034483,30.25,-4.7244094488189,1480031656,0.0,0001480031656,0.0
74304,5/9/2024 to 5/15/2024,MOTTS APPLE NATURAL STYLE JUICE 64OZ,0001480031656,JUGOS PET,19.0,2024-05-09,-0.20833333333333337,28.5,-5.785123966942152,1480031656,0.0,0001480031656,0.0
74305,5/16/2024 to 5/22/2024,MOTTS APPLE NATURAL STYLE JUICE 64OZ,0001480031656,JUGOS PET,20.0,2024-05-16,0.05263157894736836,23.0,-19.298245614035093,1480031656,0.0,0001480031656,0.0
74373,3/7/2024 to 3/13/2024,MOTTS PLUS LIGHT APPLE 64 OZ,0001480032100,JUGOS PET,116.0,2024-03-07,,116.0,,1480032100,,0001480032100,
74374,3/14/2024 to 3/20/2024,MOTTS PLUS LIGHT APPLE 64 OZ,0001480032100,JUGOS PET,142.0,2024-03-14,0.22413793103448265,129.0,11.206896551724132,1480032100,0.0,0001480032100,0.0
74375,3/21/2024 to 3/27/2024,MOTTS PLUS LIGHT APPLE 64 OZ,0001480032100,JUGOS PET,104.0,2024-03-21,-0.2676056338028169,120.66666666666667,-6.459948320413433,1480032100,0.0,0001480032100,0.0
74376,3/28/2024 to 4/3/2024,MOTTS PLUS LIGHT APPLE 64 OZ,0001480032100,JUGOS PET,72.0,2024-03-28,-0.3076923076923077,108.5,-10.082872928176801,1480032100,0.0,0001480032100,0.0
74377,4/4/2024 to 4/10/2024,MOTTS PLUS LIGHT APPLE 64 OZ,0001480032100,JUGOS PET,124.0,2024-04-04,0.7222222222222223,110.5,1.8433179723502224,1480032100,0.0,0001480032100,0.0
74378,4/11/2024 to 4/17/2024,MOTTS PLUS LIGHT APPLE 64 OZ,0001480032100,JUGOS PET,108.0,2024-04-11,-0.12903225806451613,102.0,-7.692307692307687,1480032100,0.0,0001480032100,0.0
74379,4/18/2024 to 4/24/2024,MOTTS PLUS LIGHT APPLE 64 OZ,0001480032100,JUGOS PET,111.0,2024-04-18,0.02777777777777768,103.75,1.7156862745097978,1480032100,0.0,0001480032100,0.0
74380,4/25/2024 to 5/1/2024,MOTTS PLUS LIGHT APPLE 64 OZ,0001480032100,JUGOS PET,85.0,2024-04-25,-0.23423423423423428,107.0,3.1325301204819356,1480032100,0.0,0001480032100,0.0
