,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,UPC,Price Change %,modifiedUPC
485287,5/9/2024 to 5/15/2024,FAMOSITOS UVA PK10,0007184516174,BEBIDAS,64.0,2024-05-09,20.75471698113207,7184516174,-2.7118644067796627,0007184516174
485516,5/9/2024 to 5/15/2024,GOYA PLATANOS MADUROS 11 OZ,0004133109046,TOSTONES/MADUROS,51.0,2024-05-09,-7.272727272727275,4133109046,-0.3861003861003742,0004133109046
485603,5/9/2024 to 5/15/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,49.0,2024-05-09,-2.0000000000000018,8704177014,-9.140767824497253,0008704177014
486846,5/9/2024 to 5/15/2024,PEPPERIDGE FARM LAYER COCONUT 19.6OZ,0005100007625,BIZCOCHOS/PIES/CHEESECAKE,25.0,2024-05-09,4.166666666666674,5100007625,-6.382978723404253,0005100007625
486959,5/9/2024 to 5/15/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,28.0,2024-05-09,-17.647058823529417,89677500277,-1.519081141163392,0089677500277
537348,5/16/2024 to 5/22/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,1172.0,2024-05-16,725.3521126760564,1740053540,3.2110091743119185,0001740053540
537411,5/16/2024 to 5/22/2024,SNICKERS 1.86 OZ,0004000042431,CHOCOLATE (DULCES),398.0,2024-05-16,22.461538461538467,4000042431,8.59375,0004000042431
537417,5/16/2024 to 5/22/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),408.0,2024-05-16,-4.225352112676061,4000000032,8.59375,0004000000032
537906,5/16/2024 to 5/22/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,217.0,2024-05-16,138.46153846153845,2780006794,0.27932960893854997,0002780006794
538063,5/16/2024 to 5/22/2024,FAMOSITOS VARIETY PK 10,0007184516100,BEBIDAS,224.0,2024-05-16,126.26262626262626,7184516100,2.7874564459930307,0007184516100
538128,5/16/2024 to 5/22/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),156.0,2024-05-16,20.93023255813953,9626511208,1.0204081632652962,0009626511208
538580,5/16/2024 to 5/22/2024,FAMOSITOS TROP/PUNCH PK10,0007184516163,BEBIDAS,144.0,2024-05-16,73.49397590361446,7184516163,2.7874564459930307,0007184516163
538726,5/16/2024 to 5/22/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,88.0,2024-05-16,54.38596491228069,80327530608,16.66666666666665,0080327530608
538755,5/16/2024 to 5/22/2024,FAMOSITOS FRUIT PUNCH 10 CT,0007184516162,BEBIDAS,164.0,2024-05-16,177.96610169491527,7184516162,2.7874564459930307,0007184516162
539018,5/16/2024 to 5/22/2024,FAMOSITOS UVA PK10,0007184516174,BEBIDAS,110.0,2024-05-16,71.875,7184516174,2.7874564459930307,0007184516174
539236,5/16/2024 to 5/22/2024,GOYA PLATANOS MADUROS 11 OZ,0004133109046,TOSTONES/MADUROS,62.0,2024-05-16,21.568627450980383,4133109046,0.3875968992248069,0004133109046
539324,5/16/2024 to 5/22/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,59.0,2024-05-16,20.408163265306122,8704177014,10.060362173038229,0008704177014
540565,5/16/2024 to 5/22/2024,PEPPERIDGE FARM LAYER COCONUT 19.6OZ,0005100007625,BIZCOCHOS/PIES/CHEESECAKE,63.0,2024-05-16,152.0,5100007625,6.818181818181812,0005100007625
540678,5/16/2024 to 5/22/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,51.0,2024-05-16,82.14285714285714,89677500277,1.5425131677953452,0089677500277
591065,5/23/2024 to 5/29/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,871.0,2024-05-23,-25.682593856655288,,,
591135,5/23/2024 to 5/29/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),355.0,2024-05-23,-12.99019607843137,,,
591140,5/23/2024 to 5/29/2024,SNICKERS 1.86 OZ,0004000042431,CHOCOLATE (DULCES),381.0,2024-05-23,-4.2713567839196,,,
591633,5/23/2024 to 5/29/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,154.0,2024-05-23,-29.032258064516125,,,
591782,5/23/2024 to 5/29/2024,FAMOSITOS VARIETY PK 10,0007184516100,BEBIDAS,107.0,2024-05-23,-52.23214285714286,,,
591835,5/23/2024 to 5/29/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),121.0,2024-05-23,-22.435897435897434,,,
592299,5/23/2024 to 5/29/2024,FAMOSITOS TROP/PUNCH PK10,0007184516163,BEBIDAS,96.0,2024-05-23,-33.333333333333336,,,
592445,5/23/2024 to 5/29/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,65.0,2024-05-23,-26.136363636363637,,,
592474,5/23/2024 to 5/29/2024,FAMOSITOS FRUIT PUNCH 10 CT,0007184516162,BEBIDAS,107.0,2024-05-23,-34.756097560975604,,,
592726,5/23/2024 to 5/29/2024,FAMOSITOS UVA PK10,0007184516174,BEBIDAS,34.0,2024-05-23,-69.0909090909091,,,
592955,5/23/2024 to 5/29/2024,GOYA PLATANOS MADUROS 11 OZ,0004133109046,TOSTONES/MADUROS,34.0,2024-05-23,-45.16129032258065,,,
593043,5/23/2024 to 5/29/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,40.0,2024-05-23,-32.20338983050848,,,
594313,5/23/2024 to 5/29/2024,PEPPERIDGE FARM LAYER COCONUT 19.6OZ,0005100007625,BIZCOCHOS/PIES/CHEESECAKE,52.0,2024-05-23,-17.460317460317466,,,
594397,5/23/2024 to 5/29/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,19.0,2024-05-23,-62.745098039215684,,,
644785,5/30/2024 to 6/5/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,105.0,2024-05-30,-87.94489092996555,,,
644848,5/30/2024 to 6/5/2024,SNICKERS 1.86 OZ,0004000042431,CHOCOLATE (DULCES),459.0,2024-05-30,20.472440944881896,,,
644854,5/30/2024 to 6/5/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),363.0,2024-05-30,2.2535211267605604,,,
645351,5/30/2024 to 6/5/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,222.0,2024-05-30,44.15584415584415,,,
645499,5/30/2024 to 6/5/2024,FAMOSITOS VARIETY PK 10,0007184516100,BEBIDAS,123.0,2024-05-30,14.953271028037385,,,
645552,5/30/2024 to 6/5/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),122.0,2024-05-30,0.8264462809917328,,,
646016,5/30/2024 to 6/5/2024,FAMOSITOS TROP/PUNCH PK10,0007184516163,BEBIDAS,81.0,2024-05-30,-15.625,,,
646162,5/30/2024 to 6/5/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,80.0,2024-05-30,23.076923076923084,,,
646191,5/30/2024 to 6/5/2024,FAMOSITOS FRUIT PUNCH 10 CT,0007184516162,BEBIDAS,107.0,2024-05-30,0.0,,,
646442,5/30/2024 to 6/5/2024,FAMOSITOS UVA PK10,0007184516174,BEBIDAS,76.0,2024-05-30,123.52941176470588,,,
646671,5/30/2024 to 6/5/2024,GOYA PLATANOS MADUROS 11 OZ,0004133109046,TOSTONES/MADUROS,45.0,2024-05-30,32.35294117647059,,,
646758,5/30/2024 to 6/5/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,17.0,2024-05-30,-57.49999999999999,,,
648031,5/30/2024 to 6/5/2024,PEPPERIDGE FARM LAYER COCONUT 19.6OZ,0005100007625,BIZCOCHOS/PIES/CHEESECAKE,30.0,2024-05-30,-42.307692307692314,,,
648115,5/30/2024 to 6/5/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,15.0,2024-05-30,-21.052631578947366,,,
